id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38615614,East Austin Hideaway,32683000,Jessica,,78702,30.2701,-97.69925,Private room,50,1,4,2019-11-02,1.21,1,295
38616018,"ATX Live Oak Condo
Fully remodeled 2/1.5 condo",39923093,Daryl,,78741,30.23164,-97.7329,Entire home/apt,124,1,18,2020-01-03,5.57,3,352
38618555,Romance & an Entertainers  Garden 2.5m from DT,8696190,Tee,,78704,30.24843,-97.78241,Entire home/apt,170,1,3,2019-12-09,1.30,2,39
38619660,L'amour. The White Minimalism - At Domain ATX 2020,270631468,L’amour,,78727,30.41731,-97.73876,Entire home/apt,109,1,15,2020-01-01,4.21,3,80
38620047,Modern space #1 in East downtown Austin.,294920731,Katie,,78702,30.25765,-97.7062,Entire home/apt,110,1,10,2019-12-15,2.83,2,342
38620488,Cozy south side Bedroom In quaint home,7985005,Priscilla,,78745,30.20162,-97.82224,Private room,50,2,3,2019-10-20,0.91,2,89
38621024,Your Private East-Side Resort for ACL with Pool!,22071058,Ally,,78741,30.23803,-97.72968,Entire home/apt,900,2,0,,,3,0
38621658,Beautiful Sunset View in Zilker Area 2/1.5,32814215,Joe,,78704,30.25459,-97.78062,Entire home/apt,110,2,7,2019-12-01,2.12,1,59
38622487,Modern Casita in the heart of Central Austin,8761982,Alma,,78757,30.34824,-97.73411,Entire home/apt,76,1,4,2019-12-18,1.22,1,38
38623029,Entire home near Formula 1 track,294953744,John,,78725,30.21547,-97.63156,Entire home/apt,300,2,0,,,1,356
38637964,King Master Suite near Barton Springs w/pool,425516,Keturah,,78704,30.24272,-97.78551,Entire home/apt,125,1,6,2019-12-15,1.59,3,68
38638234,Townhome next to the West Austin Park & Dog Park!,4152160,Will,,78703,30.27715,-97.75839,Entire home/apt,500,2,6,2019-11-03,1.82,1,165
38638466,South-West Austin Private Guest Suite,295125327,Marc,,78737,30.22895,-97.92929,Entire home/apt,199,2,0,,,1,90
38642181,Modern East Austin Home for a Getaway,167809514,Brianna,,78721,30.27566,-97.68175,Private room,150,2,2,2019-11-03,0.61,1,0
38642308,Beautiful Trailer in Heart of Downtown with eBikes,5404153,Juls,,78703,30.27261,-97.76293,Entire home/apt,260,1,5,2020-01-10,2.34,1,54
38643138,Private Studio,2868583,Jon,,78741,30.23768,-97.73409,Entire home/apt,130,2,3,2019-11-25,0.91,2,78
38645917,Luxury house with private pool - Good Vibes Only,295235694,Ashton,,78728,30.44372,-97.67352,Entire home/apt,349,2,6,2019-11-17,1.82,1,212
38646013,Brand New 3 BD/3BTH Home - St Elmo+South Congress,35035541,Daniel,,78745,30.21964,-97.77163,Entire home/apt,300,3,4,2019-10-31,1.02,1,0
38647534,East Austin Home -Southern Hospitality,43970053,Kathy,,78721,30.27343,-97.68255,Entire home/apt,250,3,4,2019-11-04,1.32,1,342
38647655,Room Available in Beautiful North Austin Home,295261442,Nicole,,78752,30.34209,-97.71228,Private room,717,180,0,,,1,180
38648119,SoCo Chic,72489612,Athena,,78704,30.24339,-97.75536,Entire home/apt,900,2,1,2019-11-03,0.42,2,9
38648169,LAVENDER (DOWNTOWN AUSTIN),295264073,Saliou,,78704,30.2567,-97.76017,Entire home/apt,81,1,21,2019-12-26,5.63,4,75
38649196,Blue Agave Casa,62664046,Jonathan,,78702,30.25367,-97.72624,Entire home/apt,300,3,0,,,1,0
38660867,Cute & Convenient Austin Apartment,5984498,Olivia,,78756,30.32087,-97.72992,Entire home/apt,89,2,8,2019-11-30,2.26,1,0
38662987,"Sleep in before your convention, only steps away!4",216289751,Cierra,,78701,30.27233,-97.74845,Entire home/apt,120,3,2,2019-11-01,0.55,10,0
38670558,New E Side retreat w King Bed and private bathroom,26076223,Ali,,78702,30.27097,-97.70547,Private room,69,30,2,2019-10-27,0.67,4,89
38671236,Head to Downtown Austin From a Stylish Apartment,295467083,Platform Apartments,,78702,30.2803,-97.70955,Entire home/apt,130,2,6,2020-01-02,2.90,2,250
38672008,2BR Guestsuite - Downtown Austin!,287289450,Roy,,78702,30.2591,-97.73259,Entire home/apt,150,1,21,2019-12-31,5.63,1,44
38672031,"Modern Space #2, East Downtown Austin",294920731,Katie,,78702,30.25779,-97.70473,Entire home/apt,110,1,4,2019-11-17,1.21,2,338
38672250,Master Bedroom and private Bathroom,1411717,Robbie,,78741,30.23263,-97.739,Private room,45,1,2,2019-12-13,1.02,11,24
38672314,Downtown Convenience - Walkable to Zilker and ACL,72489612,Athena,,78703,30.26861,-97.7534,Entire home/apt,525,1,4,2019-12-27,1.22,2,49
38672347,End 2019 with a BANG!! Be one of the First to Stay in Our Newest Studio Apartment!,126263802,The Lux Haus,,78701,30.26635,-97.74903,Entire home/apt,75,1,6,2019-12-15,1.67,16,225
38672494,Enjoy our Our Newest Studio Apartment!,126263802,The Lux Haus,,78701,30.26495,-97.75025,Entire home/apt,76,1,0,,,16,221
38673412,Honky Tonk Hillcountry Haven,115063947,Bo,,78734,30.37341,-97.93086,Entire home/apt,133,1,8,2019-11-10,2.42,1,176
38674406,Green-View Cabin Retreat,267210348,Sara,,78746,30.28341,-97.78482,Entire home/apt,995,2,2,2019-11-29,0.61,1,89
38674459,Downtown/Rainey. Perfect location for SXSW!,17937989,Cristobal,,78701,30.25915,-97.73778,Entire home/apt,325,3,3,2019-11-18,1.29,1,354
38674492,Modern Luxury Retreat at The BlueBerry - Unit A,295496244,Property Bliss,,78723,30.29676,-97.68565,Entire home/apt,63,1,23,2020-01-01,6.00,2,17
38674749,"Downtown Zen Garden-walk to Rainey, DT or the lake",37731086,David,,78702,30.25497,-97.73392,Entire home/apt,250,2,2,2019-11-10,0.86,1,83
38676082,New Eastside 2/2 Tree House with (Hidden by Airbnb) FIBER,26076223,Ali,,78702,30.27023,-97.70411,Private room,119,30,3,2019-11-10,0.95,4,36
38676471,"Private room(s) +bath, close to major highways",8111216,Alicia,,78728,30.44808,-97.69037,Private room,40,1,9,2020-01-05,3.80,1,55
38677843,Private room w/king bed on South Congress,45104719,Clayton,,78745,30.21208,-97.7693,Private room,65,1,6,2019-11-03,1.58,1,285
38678234,Walk to ACL! House near Zilker/Barton Springs,143039320,Peter,,78704,30.25997,-97.77319,Entire home/apt,399,3,1,2019-10-14,0.33,1,0
38684755,New Listing! Newly Built Luxe Getaway w/ 2 Suites,109638288,TurnKey Vacation Rentals,,78721,30.27875,-97.67704,Entire home/apt,182,2,2,2019-11-10,0.86,66,336
38696194,Perfect for F1 - 3 BR 2 BA House Central Austin,54387002,Charles,,78704,30.23198,-97.7527,Entire home/apt,600,2,1,2019-10-14,0.33,1,115
38698957,"Great 7 bedroom Home, Just One Mile From Downtown!",295860727,Victor,,78704,30.25143,-97.74006,Entire home/apt,799,3,8,2020-01-01,2.29,1,169
38701272,♫ Inviting Condo Downtown w/ Pool,52972375,Reid,,78705,30.28911,-97.75015,Entire home/apt,129,1,15,2019-12-28,4.25,6,183
38701979,EAST AUSTIN ATOMIC RANCH SHIPPING CONTAINER HOUSE,5744816,Lu,,78721,30.2774,-97.70053,Entire home/apt,99,2,25,2019-12-30,8.72,3,301
38702085,Enjoy gorgeous Lake Travis views from the balcony! Marina and spa nearby!,201127651,Vacasa Texas,,78734,30.37494,-97.98757,Entire home/apt,302,2,1,2019-10-10,0.32,18,364
38703287,Small Space but Zilker/Greenbelt Access (!!!),67272317,Mack,,78746,30.2604,-97.78796,Entire home/apt,150,2,5,2019-11-17,1.52,2,30
38703399,"The Zilker House - Walk to ACL, Barton Springs",28057158,April & Jake,,78704,30.25627,-97.7698,Entire home/apt,650,2,2,2019-10-13,0.61,2,1
38703552,PERFECT Austin Vacation Apt! 1 Mile to Downtown!,260827584,Jaison,,78705,30.29137,-97.74541,Entire home/apt,499,1,6,2019-11-11,1.82,23,216
38704430,Clean and cozy place for short term stay.,90495850,Jenny,,78746,30.30748,-97.79668,Entire home/apt,165,2,0,,,1,0
38705483,The Chateau at Austin,194594388,Jessica,,78744,30.17218,-97.76103,Private room,150,2,0,,,1,90
38718339,5 Minute Walk to ACL!,133751053,Sam,,78704,30.26067,-97.77305,Entire home/apt,500,2,0,,,1,7
38720405,"New studio,only 5min away from Convention center!2",216289751,Cierra,,78701,30.27189,-97.74642,Entire home/apt,91,3,4,2020-01-02,1.17,10,80
38723815,Bungalow in PRIME ATX Location,129636440,Chelsea,,78741,30.2252,-97.74112,Private room,75,1,0,,,2,136
38724103,Room Close to Airport!,37484355,Alli & Henrique,,78725,30.21511,-97.63324,Private room,30,1,2,2019-12-30,0.91,1,126
