id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,28,24,2019-03-16,0.19,3,0
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,28,9,2018-03-14,0.07,3,30
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,493,2019-07-28,3.88,1,280
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,250,2019-06-06,2.20,1,32
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,3,97,2019-08-04,0.82,1,28
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,210,2019-05-27,2.17,2,161
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,46,2019-05-28,0.40,1,155
14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.25012,-97.74193,Entire home/apt,260,2,47,2019-04-14,0.60,1,219
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,25,2018-08-26,0.38,1,0
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,88,2019-08-05,1.11,12,145
21145,"Private Pool, Non Smoking, Pet Friendly, Central",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,2,33,2019-07-21,0.78,1,106
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,356
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,54,31,36,2019-06-21,0.31,1,256
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,141,2019-08-04,1.23,1,294
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,100,30,32,2019-05-30,0.28,1,171
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,0
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,5,33,2019-05-25,0.64,1,253
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29996,-97.77832,Entire home/apt,59,2,125,2019-08-06,1.89,2,308
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,29,2019-05-27,0.28,1,364
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038,-97.77886,Entire home/apt,105,2,355,2019-08-11,3.30,2,0
47572,Harmonious Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37641,-97.70926,Private room,43,3,1,2019-03-19,0.20,1,358
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093,-97.75318,Entire home/apt,40,3,242,2019-07-29,2.25,2,283
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,130,3,28,2019-03-17,0.26,2,237
50334,Villa in Central Austin for ACL!,230747,Suzanne,,78703,30.28271,-97.75881,Entire home/apt,300,7,3,2015-03-18,0.03,1,365
51100,Walking distance to ACL,235136,,,78703,30.28188,-97.76413,Entire home/apt,500,3,2,2019-05-12,0.02,1,223
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,150,2,157,2019-06-09,1.53,2,72
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,99,1,599,2019-08-09,5.71,2,331
